date,signal_num,entry_time,exit_time,direction,tp,sl,original_tp_sl_pnl,success_rate,exit_type,filter_level,7/20,7/30,7/45,10/20,10/30,10/45,15/20,15/30,15/45
2025-06-10,3,9:30AM CT,11:30AM CT,Sell,13.81,13.21,13.81,65.0,TP,Minimum,7,7,7,10,10,10,-6.670000000000073,-6.670000000000073,-6.670000000000073
2025-06-10,4,11:30AM CT,1:30PM CT,Buy,12.61,9.01,-9.01,70.0,SL,Minimum,7,7,7,-9.029999999999745,-9.029999999999745,-9.029999999999745,-9.029999999999745,-9.029999999999745,-9.029999999999745
2025-06-11,1,8:31AM CT,9:30AM CT,Sell,12.68,13.29,12.68,69.12,TP,Minimum,7,7,7,10,10,10,15,15,15
2025-06-11,2,9:30AM CT,11:30AM CT,Buy,20.53,19.32,-19.32,63.64,SL,Minimum,-20,-15.180000000000291,-15.180000000000291,-20,-15.180000000000291,-15.180000000000291,-20,-15.180000000000291,-15.180000000000291
2025-06-11,3,11:30AM CT,12:30PM CT,Buy,12.68,10.27,11.86999999999989,68.75,TIME,Minimum,7,7,7,10,10,10,11.86999999999989,11.86999999999989,11.86999999999989
2025-06-11,4,12:30PM CT,3:00PM CT,Buy,15.1,12.68,-12.68,72.73,SL,Minimum,-20,-30,-45,-20,-30,-45,-20,-30,-45
2025-06-12,1,8:31AM CT,9:30AM CT,Sell,24.69,19.27,0,88.89,SL,Minimum,7,7,7,0,-22.11999999999989,-22.11999999999989,0,-22.11999999999989,-22.11999999999989
2025-06-12,2,9:30AM CT,11:30AM CT,Sell,30.71,62.63,-3.0399999999999636,66.67,TIME,Minimum,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636,-3.0399999999999636
2025-06-12,4,11:30AM CT,1:30PM CT,Buy,15.06,15.06,-2.6200000000008004,61.11,TIME,Minimum,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004,-2.6200000000008004
2025-06-13,1,8:31AM CT,9:30AM CT,Buy,29.62,36.88,-24.13000000000011,90.91,TIME,Strict,7,7,7,-20,-24.13000000000011,-24.13000000000011,-20,-24.13000000000011,-24.13000000000011
2025-06-17,1,8:31AM CT,9:30AM CT,Buy,24.74,25.34,6.719999999999345,60.98,TIME,Moderate,7,7,7,6.719999999999345,6.719999999999345,6.719999999999345,6.719999999999345,6.719999999999345,6.719999999999345
2025-06-17,3,9:30AM CT,11:30AM CT,Sell,28.36,27.75,0.4899999999997817,60.71,TIME,Moderate,7,7,7,0.4899999999997817,0.4899999999997817,0.4899999999997817,0.4899999999997817,0.4899999999997817,0.4899999999997817
2025-06-18,1,8:31AM CT,9:30AM CT,Buy,28.72,14.36,28.72,75.0,TP,Strict,7,7,7,10,10,10,15,15,15
2025-06-18,2,9:30AM CT,10:30AM CT,Buy,25.13,9.57,-6.760000000000218,71.43,TIME,Strict,-6.760000000000218,-6.760000000000218,-6.760000000000218,-6.760000000000218,-6.760000000000218,-6.760000000000218,-6.760000000000218,-6.760000000000218,-6.760000000000218
2025-06-18,3,12:30PM CT,3:00PM CT,Sell,23.93,8.38,0,72.22,SL,Strict,7,7,7,10,10,10,15,15,15
2025-06-20,1,8:31AM CT,9:30AM CT,Buy,28.71,14.35,-14.35,75.0,SL,Strict,7,7,7,-20,-24.729999999999563,-24.729999999999563,-20,-24.729999999999563,-24.729999999999563
2025-06-20,2,9:30AM CT,11:30AM CT,Sell,29.31,11.36,11.039999999999964,72.73,TIME,Strict,7,7,7,10,10,10,15,15,15
