date,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,exit_reason,pnl
2025-05-08,13:38:54,14:50:24,BUY,568.89,566.11,3.2659999999999996,2.647,SL,-2.7799999999999727
2025-05-09,08:44:23,09:09:04,SELL,566.31,567.29,3.7950000000000004,0.9630000000000001,SL,-0.9800000000000182
2025-05-09,10:04:01,11:29:02,BUY,564.86,563.9,2.549,2.039,TIME,-0.9600000000000364
2025-05-09,12:47:02,14:58:01,BUY,564.93,564.27,2.492,3.285,MARKET_CLOSE,-0.6599999999999682
2025-05-09,22:55:45,,SELL,None,,3.8979999999999997,3.5090000000000003,,
2025-05-12,10:29:38,10:29:40,SELL,578.8,578.76,3.8979999999999997,3.5090000000000003,TIME,0.03999999999996362
2025-05-12,10:30:01,12:04:48,BUY,578.89,581.42,2.45,2.896,TP,2.5299999999999727
2025-05-12,12:04:49,13:29:04,BUY,581.43,582.01,3.62,1.782,TIME,0.5800000000000409
2025-05-12,14:25:24,14:25:25,SELL,581.68,581.69,3.113,1.358,TIME,-0.010000000000104592
2025-05-12,14:25:26,14:25:27,BUY,581.71,581.68,2.377,2.773,TIME,-0.030000000000086402
2025-05-12,14:25:28,14:25:29,BUY,581.67,581.64,2.887,1.8679999999999999,TIME,-0.029999999999972715
2025-05-13,10:30:01,12:29:02,SELL,587.73,588.28,3.039,3.097,TIME,-0.5499999999999545
2025-05-14,08:31:01,09:29:03,SELL,588.32,587.43,2.884,4.65,TIME,0.8900000000001
2025-05-14,09:30:01,11:29:06,SELL,587.52,587.89,2.649,3.414,TIME,-0.37000000000000455
2025-05-14,11:29:07,12:29:03,SELL,587.88,586.43,2.7079999999999997,1.766,TIME,1.4500000000000455
2025-05-14,12:30:01,14:58:05,BUY,586.33,587.79,2.5309999999999997,2.943,MARKET_CLOSE,1.4599999999999227
2025-05-15,08:31:01,09:29:04,SELL,585.65,585.89,1.591,1.532,TIME,-0.2400000000000091
2025-05-15,09:29:05,09:59:01,BUY,585.9,586.59,1.9449999999999998,2.534,TIME,0.6900000000000546
2025-05-16,09:23:29,09:29:02,BUY,591.12,590.93,1.42,1.302,TIME,-0.19000000000005457
2025-05-16,09:29:03,09:59:04,SELL,590.94,590.35,1.538,1.361,TIME,0.5900000000000318
2025-05-16,09:59:06,11:15:37,BUY,590.37,592.01,1.42,1.598,TP,1.6399999999999864
2025-05-16,11:15:38,,BUY,592.0,,1.42,1.893,,
2025-05-19,08:31:04,08:40:28,BUY,588.77,590.33,1.549,1.668,TP,1.5600000000000591
2025-05-19,09:00:01,09:07:04,SELL,591.19,592.86,1.549,1.3699999999999999,SL,-1.669999999999959
2025-05-19,10:13:46,10:13:47,BUY,592.64,592.63,1.549,1.668,TIME,-0.009999999999990905
2025-05-19,10:13:48,11:29:01,BUY,592.64,593.97,1.3699999999999999,1.311,TIME,1.330000000000041
2025-05-19,11:29:02,12:08:28,BUY,593.97,595.35,1.4300000000000002,1.907,TP,1.3799999999999955
2025-05-19,12:08:30,13:15:31,BUY,595.36,593.97,1.549,1.3699999999999999,SL,-1.3899999999999864
2025-05-19,13:15:32,,BUY,593.97,,1.668,1.7280000000000002,,
2025-05-19,14:58:06,14:58:07,BUY,594.82,594.79,1.311,1.311,TIME,-0.030000000000086402
2025-05-20,12:15:00,12:29:05,SELL,593.745,593.62,3.996,1.968,TIME,0.125
2025-05-21,08:31:01,09:02:02,SELL,589.17,591.3,2.554,2.0789999999999997,SL,-2.1299999999999955
2025-05-21,09:30:01,11:29:04,SELL,589.6375,591.6785,2.436,2.673,TIME,-2.04099999999994
2025-05-22,08:31:01,09:00:36,SELL,582.79,584.4535,1.403,1.636,SL,-1.663499999999999
2025-05-22,09:30:01,09:55:04,BUY,582.86,581.968,1.286,0.877,SL,-0.8920000000000528
2025-05-22,10:30:02,10:39:01,BUY,582.553,583.89,1.3439999999999999,1.3439999999999999,TP,1.336999999999989
2025-05-22,12:30:01,14:01:16,BUY,584.6505,586.09,1.403,1.812,TP,1.4395000000000664
2025-05-23,09:00:01,09:59:01,SELL,576.77,577.09,2.4539999999999997,3.622,TIME,-0.32000000000005
